titulo,meters,price,bathrooms,category,link,municipality,operation,owner,rooms
"Piso nuevo, quinta planta, Nou Eixample, Tarragona",119 m²,€ 273.000,2 baños,Piso ,https://www.indomio.es/anuncios/95392831/,Tarragona,Venta,Franquiciado Tecnocasa: ASSESSORIA CIUTAT DE TARRAGONA SLU,8
"Piso Avda Republica Argentina, Nou Eixample, Tarragona",71 m²,€ 108.000,desc,Piso,https://www.indomio.es/anuncios/94570025/,Tarragona,Venta,Aliseda Inmobiliaria,0
"Piso de tres habitaciones Calle D'Higini Angles, Nou Eixample, Tarragona",110 m²,€ 250.000,2 baños,Piso,https://www.indomio.es/anuncios/95966229/,Tarragona,Venta,SantiForés Immobles,5
"Casa unifamiliar 4 habitaciones, Urbanitzacions de Llevant, Tarragona",190 m² ,€ 420.000,3 baños,Casa unifamiliar,https://www.indomio.es/anuncios/92391795/,Tarragona,Venta,Unic Propietats,7
"Piso de cuatro habitaciones S Pere, Sant Pere i Sant Pau, Tarragona",64 m²,€ 116.000,1 baño,Piso,https://www.indomio.es/anuncios/95027427/,Tarragona,Venta,Finques Orven,5
Edificio en Venta,760 m²,€ 900.000,desc,Edificio,https://www.indomio.es/anuncios/95873965/,Tarragona,Venta,Fincas Eva,0
"Piso de tres habitaciones Riu Llobregat, Torreforta-La Granja-Campclar, Tarragona",92 m²,€ 70.000,1 baño,Piso,https://www.indomio.es/anuncios/95874687/,Tarragona,Venta,Velstand Servicios inmobiliarios,4
"Piso de cuatro habitaciones 151 m², Eixample, Tarragona",151 m²,€ 580.000,2 baños,Piso ,https://www.indomio.es/anuncios/95392795/,Tarragona,Venta,Franquiciado Tecnocasa: ASSESSORIA CIUTAT DE TARRAGONA SLU,7
"Piso de tres habitaciones buen estado, novena planta, Part Alta, Tarragona",83 m²,€ 170.000,2 baños,Piso ,https://www.indomio.es/anuncios/94884799/,Tarragona,Venta,Grup RA - Advocada Real Estate,6
"Piso de dos habitaciones muy buen estado, planta baja, Urbanitzacions de Llevant, Tarragona",77 m²,€ 239.000,2 baños,Piso ,https://www.indomio.es/anuncios/95600679/,Tarragona,Venta,Eivissatgn Assessoria Immobiliaria,5
"Piso de cuatro habitaciones Calle Tretze, Bonavista, Tarragona",127 m²,€ 129.000,2 baños,Piso,https://www.indomio.es/anuncios/95563841/,Tarragona,Venta,Immo BC,6
