meters,price,bathrooms,category,link,municipality,operation,owner,rooms
95 m²,€ 150.000,2 baños,Piso,https://www.indomio.es/anuncios/95239593/,Albacete,Venta,Ana Isabel Martinez Marchante,5
140 m²,€ 230.000,2 baños,Piso,https://www.indomio.es/anuncios/95334087/,Albacete,Venta,Inmobiliaria La Mancha,6
115 m²,€ 115.000,1 baño,Piso,https://www.indomio.es/anuncios/95411685/,Albacete,Venta,Inmobiliaria Albacete E.T.I.,4
94 m²,€ 215.000,2 baños,Piso,https://www.indomio.es/anuncios/95466819/,Albacete,Venta,Fincasa Inmobiliaria,5
55 m²,€ 108.000,1 baño,Piso ,https://www.indomio.es/anuncios/95508893/,Albacete,Venta,,3
97 m²,€ 120.000,1 baño,Piso,https://www.indomio.es/anuncios/95555769/,Albacete,Venta,InmoHouse,4
100 m²,€ 130.000,2 baños,Piso,https://www.indomio.es/anuncios/95905857/,Albacete,Venta,Grupo Luxury Home,5
95 m²,€ 170.000,2 baños,Piso,https://www.indomio.es/anuncios/95905903/,Albacete,Venta,Grupo Luxury Home,5
110 m²,€ 162.000,2 baños,Piso,https://www.indomio.es/anuncios/95963091/,Albacete,Venta,Servicios inmobiliarios Carretero Carcelen,6
95 m²,€ 165.000,2 baños,Piso,https://www.indomio.es/anuncios/96003005/,Albacete,Venta,InmoHouse,5
100 m²,€ 182.500,2 baños,Piso,https://www.indomio.es/anuncios/85888499/,Albacete,Venta,Inmobiliaria Tejares,5
305 m²,€ 470.000,3 baños,Piso,https://www.indomio.es/anuncios/87457939/,Albacete,Venta,Inmobiliaria Tejares,8
300 m² ,€ 475.000,3+ baños,Casa unifamiliar,https://www.indomio.es/anuncios/95690497/,Albacete,Venta,InmoHouse,5
114 m²,€ 180.000,2 baños,Piso,https://www.indomio.es/anuncios/90259943/,Albacete,Venta,Alquilofacil - Albacete,6
132 m²,€ 190.000,3 baños,Piso,https://www.indomio.es/anuncios/94977157/,Albacete,Venta,Inmobiliaria La Mancha,9
120 m²,€ 195.000,2 baños,Piso,https://www.indomio.es/anuncios/95257189/,Albacete,Venta,Inmobiliaria La Mancha,5
154 m²,€ 290.000,3 baños,Piso,https://www.indomio.es/anuncios/95600543/,Albacete,Venta,InmoHouse,7
120 m²,€ 198.000,1 baño,Piso ,https://www.indomio.es/anuncios/95622999/,Albacete,Venta,,6
65 m²,€ 155.000,2 baños,Piso,https://www.indomio.es/anuncios/95629371/,Albacete,Venta,Servicios inmobiliarios Carretero Carcelen,4
104 m²,€ 170.000,2 baños,Piso,https://www.indomio.es/anuncios/95787811/,Albacete,Venta,Inmobiliaria La Mancha,5
115 m²,€ 145.000,2 baños,Piso,https://www.indomio.es/anuncios/95816439/,Albacete,Venta,Global House Albacete,6
350 m² ,€ 350.000,3 baños,Casa unifamiliar,https://www.indomio.es/anuncios/95708101/,Albacete,Venta,Inmobiliaria La Noria,7
100 m²,€ 120.000,2 baños,Piso,https://www.indomio.es/anuncios/85973061/,Albacete,Venta,Inmobiliaria Tejares,3
125 m² ,€ 160.000,2 baños,Casa unifamiliar,https://www.indomio.es/anuncios/95708099/,Albacete,Venta,Inmobiliaria La Noria,6
210 m²,€ 170.000,,Casa rústica,https://www.indomio.es/anuncios/92627347/,Albacete,Venta,Topbrokers,
